"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId"
1,18,1,1,"22",1,"1","1",1,10,58,"1:34:50.616","5690616","39","2","1:27.452","218.300",1
2,18,2,2,"3",5,"2","2",2,8,58,+5.478,"5696094","41","3","1:27.739","217.586",1
3,18,3,3,"7",7,"3","3",3,6,58,+8.163,"5698779","41","5","1:28.090","216.719",1
4,18,4,4,"5",11,"4","4",4,5,58,+17.181,"5707797","58","7","1:28.603","215.464",1
5,18,5,1,"23",3,"5","5",5,4,58,+18.014,"5708630","43","1","1:27.418","218.385",1
6,18,6,3,"8",13,"6","6",6,3,57,N,N,"50","14","1:29.639","212.974",11
7,18,7,5,"14",17,"7","7",7,2,55,N,N,"54","8","1:29.534","213.224",5
8,18,8,6,"1",15,"8","8",8,1,53,N,N,"20","4","1:27.903","217.180",5
9,18,9,2,"4",2,N,R,9,0,47,N,N,"15","9","1:28.753","215.100",4
10,18,10,7,"12",18,N,R,10,0,43,N,N,"23","13","1:29.558","213.166",3
11,18,11,8,"18",19,N,R,11,0,32,N,N,"24","15","1:30.892","210.038",7
12,18,12,4,"6",20,N,R,12,0,30,N,N,"20","16","1:31.384","208.907",8
13,18,13,6,"2",4,N,R,13,0,29,N,N,"23","6","1:28.175","216.510",5
14,18,14,9,"9",8,N,R,14,0,25,N,N,"21","11","1:29.502","213.300",4
15,18,15,7,"11",6,N,R,15,0,19,N,N,"18","10","1:29.310","213.758",10
16,18,16,10,"20",22,N,R,16,0,8,N,N,"8","17","1:32.021","207.461",9
17,18,17,9,"10",14,N,R,17,0,0,N,N,N,N,N,N,4
18,18,18,11,"16",12,N,R,18,0,0,N,N,N,N,N,N,4
19,18,19,8,"19",21,N,R,19,0,0,N,N,N,N,N,N,4
20,18,20,5,"15",9,N,R,20,0,0,N,N,N,N,N,N,4
21,18,21,10,"21",16,N,R,21,0,0,N,N,N,N,N,N,4
22,18,22,11,"17",10,N,D,22,0,58,N,N,"44","8","1:28.736","215.141",2
23,19,8,6,"1",2,"1","1",1,10,56,"1:31:18.555","5478555","37","2","1:35.405","209.158",1
24,19,9,2,"4",4,"2","2",2,8,56,+19.570,"5498125","39","6","1:35.921","208.033",1
25,19,5,1,"23",8,"3","3",3,6,56,+38.450,"5517005","19","7","1:35.922","208.031",1
26,19,15,7,"11",3,"4","4",4,5,56,+45.832,"5524387","53","8","1:36.068","207.715",1
27,19,1,1,"22",9,"5","5",5,4,56,+46.548,"5525103","53","3","1:35.462","209.033",1
28,19,2,2,"3",5,"6","6",6,3,56,+49.833,"5528388","55","1","1:35.366","209.244",1
29,19,17,9,"10",6,"7","7",7,2,56,+1:08.130,"5546685","53","12","1:36.696","206.366",1
30,19,4,4,"5",7,"8","8",8,1,56,+1:10.041,"5548596","40","10","1:36.288","207.240",1
31,19,14,9,"9",12,"9","9",9,0,56,+1:16.220,"5554775","55","9","1:36.206","207.417",1
32,19,18,11,"16",11,"10","10",10,0,56,+1:26.214,"5564769","56","4","1:35.715","208.481",1
33,19,12,4,"6",13,"11","11",11,0,56,+1:32.202,"5570757","52","15","1:36.956","205.812",1
34,19,21,10,"21",17,"12","12",12,0,55,N,N,"52","16","1:36.962","205.800",11
35,19,22,11,"17",14,"13","13",13,0,55,N,N,"55","11","1:36.693","206.372",11
36,19,3,3,"7",16,"14","14",14,0,55,N,N,"55","13","1:36.782","206.182",11
37,19,19,8,"19",21,"15","15",15,0,55,N,N,"55","18","1:38.171","203.265",11
38,19,11,8,"18",19,"16","16",16,0,54,N,N,"53","19","1:38.504","202.578",12
39,19,6,3,"8",22,"17","17",17,0,54,N,N,"19","17","1:37.711","204.222",12
40,19,20,5,"15",15,N,R,18,0,39,N,N,"37","14","1:36.870","205.995",5
41,19,13,6,"2",1,N,R,19,0,30,N,N,"15","5","1:35.914","208.048",20
42,19,16,10,"20",20,N,R,20,0,5,N,N,"3","20","1:40.330","198.891",9
43,19,10,7,"12",10,N,R,21,0,1,N,N,N,N,N,N,4
44,19,7,5,"14",18,N,R,22,0,0,N,N,N,N,N,N,20
45,20,13,6,"2",2,"1","1",1,10,57,"1:31:06.970","5466970","38","3","1:33.600","208.153",1
46,20,8,6,"1",4,"2","2",2,8,57,+3.339,"5470309","35","4","1:33.709","207.911",1
47,20,9,2,"4",1,"3","3",3,6,57,+4.998,"5471968","55","5","1:33.775","207.765",1
48,20,2,2,"3",6,"4","4",4,5,57,+8.409,"5475379","48","2","1:33.565","208.231",1
49,20,5,1,"23",5,"5","5",5,4,57,+26.789,"5493759","49","1","1:33.193","209.062",1
50,20,15,7,"11",7,"6","6",6,3,57,+41.314,"5508284","45","7","1:34.204","206.819",1
51,20,17,9,"10",11,"7","7",7,2,57,+45.473,"5512443","51","8","1:34.305","206.597",1
52,20,3,3,"7",8,"8","8",8,1,57,+55.889,"5522859","57","6","1:34.072","207.109",1
53,20,10,7,"12",13,"9","9",9,0,57,+1:09.500,"5536470","56","9","1:34.807","205.503",1
54,20,4,4,"5",10,"10","10",10,0,57,+1:17.181,"5544151","35","13","1:35.194","204.668",1
