"year","name","time","driverRef"
2024,Circuit Gilles Villeneuve,"1:14.856",hamilton
2024,Circuit de Monaco,"1:14.165",hamilton
2023,Autódromo Hermanos Rodríguez,"1:21.334",hamilton
2023,Marina Bay Street Circuit,"1:35.867",hamilton
2023,Circuit de Spa-Francorchamps,"1:47.305",hamilton
2023,Circuit de Monaco,"1:15.650",hamilton
2022,Hungaroring,"1:21.386",hamilton
2022,Silverstone Circuit,"1:30.510",hamilton
2021,Jeddah Corniche Circuit,"1:30.734",hamilton
2021,Circuit of the Americas,"1:38.485",hamilton
2021,Circuit Park Zandvoort,"1:11.097",hamilton
2021,Red Bull Ring,"1:07.058",hamilton
2021,Circuit de Monaco,"1:12.909",hamilton
2021,Autodromo Enzo e Dino Ferrari,"1:16.702",hamilton
2020,Autodromo Enzo e Dino Ferrari,"1:15.484",hamilton
2020,Autódromo Internacional do Algarve,"1:18.750",hamilton
2020,Autodromo Internazionale del Mugello,"1:18.833",hamilton
2020,Autodromo Nazionale di Monza,"1:22.746",hamilton
2020,Silverstone Circuit,"1:28.451",hamilton
2020,Hungaroring,"1:16.627",hamilton
2019,Yas Marina Circuit,"1:39.283",hamilton
2019,Suzuka Circuit,"1:30.983",hamilton
2019,Sochi Autodrom,"1:35.761",hamilton
2019,Autodromo Nazionale di Monza,"1:21.779",hamilton
2019,Silverstone Circuit,"1:27.369",hamilton
2019,Circuit de Barcelona-Catalunya,"1:18.492",hamilton
2018,Circuit of the Americas,"1:37.392",hamilton
2018,Autodromo Nazionale di Monza,"1:22.497",hamilton
2018,Hockenheimring,"1:15.545",hamilton
2017,Marina Bay Street Circuit,"1:45.008",hamilton
2017,Silverstone Circuit,"1:30.621",hamilton
2017,Red Bull Ring,"1:07.411",hamilton
2017,Circuit Gilles Villeneuve,"1:14.551",hamilton
2017,Circuit de Barcelona-Catalunya,"1:23.593",hamilton
2017,Bahrain International Circuit,"1:32.798",hamilton
2017,Shanghai International Circuit,"1:35.378",hamilton
2016,Circuit de Spa-Francorchamps,"1:51.583",hamilton
2016,Red Bull Ring,"1:08.411",hamilton
2016,Circuit de Monaco,"1:17.939",hamilton
2015,Yas Marina Circuit,"1:44.517",hamilton
2015,Autódromo José Carlos Pace,"1:14.832",hamilton
2015,Suzuka Circuit,"1:36.145",hamilton
2015,Autodromo Nazionale di Monza,"1:26.672",hamilton
2015,Albert Park Grand Prix Circuit,"1:30.945",hamilton
2015,Shanghai International Circuit,"1:42.208",hamilton
2015,Circuit de Barcelona-Catalunya,"1:28.270",hamilton
2014,Autódromo José Carlos Pace,"1:13.555",hamilton
2014,Suzuka Circuit,"1:51.600",hamilton
2014,Marina Bay Street Circuit,"1:50.417",hamilton
2014,Autodromo Nazionale di Monza,"1:28.004",hamilton
2014,Hockenheimring,"1:19.908",hamilton
2014,Silverstone Circuit,"1:37.176",hamilton
2014,Sepang International Circuit,"1:43.066",hamilton
2013,Autodromo Nazionale di Monza,"1:25.849",hamilton
2012,Autódromo José Carlos Pace,"1:18.069",hamilton
2011,Autodromo Nazionale di Monza,"1:26.187",hamilton
2011,Nürburgring,"1:34.302",hamilton
2011,Circuit de Barcelona-Catalunya,"1:26.727",hamilton
2010,Yas Marina Circuit,"1:41.274",hamilton
2010,Autódromo José Carlos Pace,"1:13.851",hamilton
2010,Circuit de Spa-Francorchamps,"1:49.069",hamilton
2010,Circuit de Barcelona-Catalunya,"1:24.357",hamilton
2010,Shanghai International Circuit,"1:42.061",hamilton
2007,Fuji Speedway,"1:28.193",hamilton
2007,Sepang International Circuit,"1:36.701",hamilton
2008,Shanghai International Circuit,"1:36.325",hamilton
2008,Hockenheimring,"1:15.987",heidfeld
2008,Sepang International Circuit,"1:35.366",heidfeld
2016,Sepang International Circuit,"1:36.424",rosberg
2016,Silverstone Circuit,"1:35.548",rosberg
2016,Baku City Circuit,"1:46.485",rosberg
2016,Circuit Gilles Villeneuve,"1:15.599",rosberg
2016,Sochi Autodrom,"1:39.094",rosberg
2016,Bahrain International Circuit,"1:34.482",rosberg
2015,Autódromo Hermanos Rodríguez,"1:20.521",rosberg
2015,Circuit of the Americas,"1:40.666",rosberg
2015,Circuit de Spa-Francorchamps,"1:52.416",rosberg
2015,Red Bull Ring,"1:11.235",rosberg
2015,Sepang International Circuit,"1:42.062",rosberg
2014,Circuit de Spa-Francorchamps,"1:50.511",rosberg
2014,Hungaroring,"1:25.724",rosberg
2014,Shanghai International Circuit,"1:40.402",rosberg
2014,Bahrain International Circuit,"1:37.020",rosberg
2014,Albert Park Grand Prix Circuit,"1:32.478",rosberg
2012,Autodromo Nazionale di Monza,"1:27.239",rosberg
2012,Valencia Street Circuit,"1:42.163",rosberg
2006,Bahrain International Circuit,"1:32.408",rosberg
2009,Albert Park Grand Prix Circuit,"1:27.706",rosberg
2024,Red Bull Ring,"1:07.694",alonso
2024,Shanghai International Circuit,"1:37.810",alonso
2023,Circuit Park Zandvoort,"1:13.837",alonso
2017,Hungaroring,"1:20.182",alonso
2016,Autodromo Nazionale di Monza,"1:25.340",alonso
2013,Yas Marina Circuit,"1:43.434",alonso
2013,Nürburgring,"1:33.468",alonso
2011,Silverstone Circuit,"1:33.391",alonso
2010,Korean International Circuit,"1:50.257",alonso
2010,Marina Bay Street Circuit,"1:47.976",alonso
2010,Autodromo Nazionale di Monza,"1:24.139",alonso
2010,Silverstone Circuit,"1:30.874",alonso
2010,Bahrain International Circuit,"1:58.287",alonso
2003,Circuit Gilles Villeneuve,"1:16.040",alonso
2005,Nürburgring,"1:30.711",alonso
2005,Albert Park Grand Prix Circuit,"1:25.683",alonso
2006,Suzuka Circuit,"1:32.676",alonso
2006,Shanghai International Circuit,"1:37.586",alonso
2006,Silverstone Circuit,"1:21.599",alonso
2006,Autodromo Enzo e Dino Ferrari,"1:24.569",alonso
2006,Sepang International Circuit,"1:34.803",alonso
