"circuitRef","name","location","country","races_hosted"
monza,Autodromo Nazionale di Monza,Monza,Italy,74
monaco,Circuit de Monaco,Monte-Carlo,Monaco,70
silverstone,Silverstone Circuit,Silverstone,UK,59
spa,Circuit de Spa-Francorchamps,Spa,Belgium,57
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,43
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,41
nurburgring,Nürburgring,Nürburg,Germany,41
hungaroring,Hungaroring,Budapest,Hungary,39
red_bull_ring,Red Bull Ring,Spielberg,Austria,38
hockenheimring,Hockenheimring,Hockenheim,Germany,37
